# Time,Power_Norm,EE_Norm,Cum_Energy_Norm
0,0.24,0.279,0
1,0.206,0.02,0
2,0.226,0.014,0.001
3,0.243,0.034,0.001
4,0.259,0.084,0.001
5,0.269,0.128,0.001
6,0.235,0.053,0.001
7,0.239,0.047,0.002
8,0.27,0.116,0.002
9,0.297,0.198,0.002
10,0.272,0.131,0.002
11,0.27,0.139,0.002
12,0.28,0.132,0.003
13,0.282,0.167,0.003
14,0.267,0.124,0.003
15,0.263,0.103,0.003
16,0.26,0.094,0.004
17,0.267,0.114,0.004
18,0.258,0.092,0.004
19,0.256,0.083,0.004
20,0.275,0.155,0.004
21,0.281,0.16,0.005
22,0.3,0.223,0.005
23,0.297,0.211,0.005
24,0.278,0.161,0.005
25,0.273,0.14,0.005
26,0.28,0.162,0.006
27,0.288,0.18,0.006
28,0.289,0.173,0.006
29,0.283,0.163,0.006
30,0.285,0.184,0.007
31,0.293,0.192,0.007
32,0.299,0.212,0.007
33,0.294,0.198,0.007
34,0.268,0.141,0.008
35,0.313,0.18,0.008
36,0.269,0.149,0.008
37,0.248,0.071,0.008
38,0.264,0.146,0.008
39,0.296,0.194,0.009
40,0.288,0.18,0.009
41,0.292,0.195,0.009
42,0.274,0.165,0.009
43,0.295,0.206,0.01
44,0.302,0.226,0.01
45,0.293,0.201,0.01
46,0.274,0.181,0.01
47,0.291,0.187,0.011
48,0.273,0.136,0.011
49,0.269,0.111,0.011
50,0.278,0.172,0.011
51,0.31,0.162,0.011
52,0.273,0.221,0.012
53,0.288,0.181,0.012
54,0.285,0.195,0.012
55,0.294,0.201,0.012
56,0.28,0.153,0.013
57,0.286,0.17,0.013
58,0.265,0.147,0.013
59,0.285,0.162,0.013
60,0.301,0.212,0.013
61,0.293,0.164,0.014
62,0.282,0.193,0.014
63,0.299,0.19,0.014
64,0.279,0.15,0.014
65,0.277,0.154,0.015
66,0.284,0.192,0.015
67,0.296,0.192,0.015
68,0.281,0.144,0.015
69,0.262,0.098,0.016
70,0.26,0.112,0.016
71,0.293,0.187,0.016
72,0.289,0.173,0.016
73,0.314,0.234,0.016
74,0.292,0.196,0.017
75,0.274,0.128,0.017
76,0.294,0.188,0.017
77,0.3,0.213,0.017
78,0.298,0.227,0.018
79,0.325,0.22,0.018
80,0.292,0.209,0.018
81,0.279,0.179,0.018
82,0.306,0.178,0.019
83,0.277,0.173,0.019
84,0.275,0.152,0.019
85,0.28,0.159,0.019
86,0.274,0.153,0.019
87,0.291,0.192,0.02
88,0.281,0.168,0.02
89,0.291,0.197,0.02
90,0.291,0.196,0.02
91,0.287,0.179,0.021
92,0.284,0.163,0.021
93,0.288,0.188,0.021
94,0.287,0.179,0.021
95,0.291,0.189,0.022
96,0.283,0.183,0.022
97,0.285,0.181,0.022
98,0.282,0.171,0.022
99,0.279,0.156,0.022
100,0.281,0.161,0.023
101,0.262,0.111,0.023
102,0.246,0.095,0.023
103,0.27,0.128,0.023
104,0.288,0.177,0.024
105,0.3,0.187,0.024
106,0.302,0.218,0.024
107,0.276,0.151,0.024
108,0.29,0.178,0.024
109,0.276,0.176,0.025
110,0.284,0.175,0.025
111,0.285,0.183,0.025
112,0.273,0.152,0.025
113,0.281,0.201,0.026
114,0.326,0.203,0.026
115,0.282,0.186,0.026
116,0.294,0.174,0.026
117,0.277,0.196,0.027
118,0.295,0.194,0.027
119,0.288,0.184,0.027
120,0.289,0.178,0.027
121,0.276,0.157,0.027
122,0.292,0.191,0.028
123,0.292,0.181,0.028
124,0.29,0.18,0.028
125,0.282,0.194,0.028
126,0.284,0.162,0.029
127,0.283,0.157,0.029
128,0.292,0.176,0.029
129,0.293,0.202,0.029
130,0.29,0.184,0.03
131,0.273,0.117,0.03
132,0.285,0.164,0.03
133,0.279,0.172,0.03
134,0.286,0.163,0.03
135,0.297,0.189,0.031
136,0.281,0.161,0.031
137,0.285,0.18,0.031
138,0.302,0.198,0.031
139,0.272,0.136,0.032
140,0.286,0.175,0.032
141,0.31,0.184,0.032
142,0.306,0.228,0.032
143,0.29,0.183,0.033
144,0.288,0.186,0.033
145,0.283,0.181,0.033
146,0.277,0.151,0.033
147,0.284,0.164,0.033
148,0.262,0.12,0.034
149,0.256,0.102,0.034
150,0.255,0.092,0.034
151,0.272,0.134,0.034
152,0.258,0.109,0.034
153,0.259,0.12,0.035
154,0.287,0.181,0.035
155,0.302,0.21,0.035
156,0.291,0.2,0.035
157,0.289,0.197,0.036
158,0.294,0.194,0.036
159,0.288,0.183,0.036
160,0.283,0.184,0.036
161,0.275,0.157,0.037
162,0.292,0.188,0.037
163,0.283,0.159,0.037
164,0.272,0.139,0.037
165,0.28,0.156,0.037
166,0.287,0.163,0.038
167,0.292,0.188,0.038
168,0.295,0.176,0.038
169,0.279,0.157,0.038
170,0.276,0.145,0.039
171,0.285,0.173,0.039
172,0.265,0.13,0.039
173,0.283,0.153,0.039
174,0.279,0.142,0.039
175,0.282,0.156,0.04
176,0.279,0.161,0.04
177,0.272,0.127,0.04
178,0.28,0.146,0.04
179,0.291,0.188,0.041
180,0.294,0.197,0.041
181,0.285,0.161,0.041
182,0.293,0.18,0.041
183,0.298,0.192,0.042
184,0.289,0.201,0.042
185,0.296,0.204,0.042
186,0.293,0.192,0.042
187,0.295,0.173,0.042
188,0.264,0.149,0.043
189,0.288,0.162,0.043
190,0.286,0.176,0.043
191,0.289,0.18,0.043
192,0.279,0.164,0.044
193,0.278,0.153,0.044
194,0.283,0.165,0.044
195,0.29,0.171,0.044
196,0.275,0.168,0.044
197,0.283,0.154,0.045
198,0.278,0.158,0.045
199,0.278,0.153,0.045
200,0.275,0.175,0.045
201,0.283,0.159,0.046
202,0.279,0.158,0.046
203,0.299,0.212,0.046
204,0.286,0.195,0.046
205,0.283,0.17,0.047
206,0.273,0.137,0.047
207,0.282,0.155,0.047
208,0.273,0.177,0.047
209,0.288,0.174,0.047
210,0.273,0.157,0.048
211,0.298,0.184,0.048
212,0.278,0.182,0.048
213,0.279,0.153,0.048
214,0.288,0.177,0.049
215,0.293,0.169,0.049
216,0.272,0.151,0.049
217,0.287,0.159,0.049
218,0.268,0.138,0.049
219,0.269,0.125,0.05
220,0.253,0.085,0.05
221,0.27,0.103,0.05
222,0.265,0.116,0.05
223,0.271,0.168,0.051
224,0.274,0.145,0.051
225,0.301,0.18,0.051
226,0.31,0.223,0.051
227,0.302,0.23,0.051
228,0.3,0.221,0.052
229,0.298,0.214,0.052
230,0.269,0.141,0.052
231,0.28,0.176,0.052
232,0.292,0.205,0.053
233,0.3,0.195,0.053
234,0.275,0.147,0.053
235,0.268,0.132,0.053
236,0.294,0.191,0.054
237,0.285,0.164,0.054
238,0.287,0.173,0.054
239,0.295,0.192,0.054
240,0.28,0.165,0.054
241,0.275,0.154,0.055
242,0.29,0.195,0.055
243,0.288,0.199,0.055
244,0.291,0.192,0.055
245,0.286,0.182,0.056
246,0.294,0.204,0.056
247,0.281,0.184,0.056
248,0.289,0.192,0.056
249,0.305,0.212,0.057
250,0.299,0.218,0.057
251,0.292,0.229,0.057
252,0.291,0.226,0.057
253,0.307,0.26,0.057
254,0.309,0.281,0.058
255,0.315,0.307,0.058
256,0.32,0.324,0.058
257,0.327,0.333,0.059
258,0.333,0.377,0.059
259,0.38,0.388,0.059
260,0.316,0.393,0.059
261,0.316,0.36,0.06
262,0.338,0.396,0.06
263,0.359,0.439,0.06
264,0.371,0.46,0.06
265,0.381,0.472,0.061
266,0.371,0.46,0.061
267,0.35,0.463,0.061
268,0.349,0.456,0.062
269,0.384,0.494,0.062
270,0.39,0.486,0.062
271,0.371,0.513,0.063
